Altium Designer Pick and Place Locations
C:\Users\rhlma\Box\DOEGFM\PCB\GFM_Inverter\ThreePhaseInverter\Project Outputs for ThreePhaseInverter\Pick Place for Threephase_inverter.txt

========================================================================================================================
File Design Information:

Date:       06/12/23
Time:       23:37
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                Layer       Footprint                Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                               
TP73       S1751-46               TopLayer    S175146                  16185.039     12519.685     0        "Test Point"                                                                                                                                                              
TP72       S1751-46               TopLayer    S175146                  14811.024     1685.039      0        "Test Point"                                                                                                                                                              
TP71       S1751-46               TopLayer    S175146                  15011.811     5625.984      0        "Test Point"                                                                                                                                                              
TP70       S1751-46               TopLayer    S175146                  13964.567     1767.716      0        "Test Point"                                                                                                                                                              
TP69       S1751-46               TopLayer    S175146                  13976.378     7716.535      0        "Test Point"                                                                                                                                                              
TP68       S1751-46               TopLayer    S175146                  14279.528     12692.913     0        "Test Point"                                                                                                                                                              
J27        142-0701-201           BottomLayer 1420701201               1017.323      3832.284      180      Connector                                                                                                                                                                 
J26        142-0701-201           BottomLayer 1420701201               425.197       4649.606      180      Connector                                                                                                                                                                 
C193       CC0805KRX7R8BB104      TopLayer    CAPC2012X95N             728.346       11283.465     180      Capacitor                                                                                                                                                                 
C192       CC0805KRX7R8BB104      TopLayer    CAPC2012X95N             688.976       11153.543     90       Capacitor                                                                                                                                                                 
TP67_2     S1751-46               TopLayer    S175146                  13551.181     4720.472      90       "Test Point"                                                                                                                                                              
TP67_1     S1751-46               TopLayer    S175146                  19236.220     8488.189      0        "Test Point"                                                                                                                                                              
TP66_2     S1751-46               TopLayer    S175146                  13633.858     8500.000      90       "Test Point"                                                                                                                                                              
TP66_1     S1751-46               TopLayer    S175146                  17370.079     4842.520      0        "Test Point"                                                                                                                                                              
TP65_2     S1751-46               TopLayer    S175146                  11125.984     4779.528      0        "Test Point"                                                                                                                                                              
TP65_1     S1751-46               TopLayer    S175146                  16413.386     4590.551      90       "Test Point"                                                                                                                                                              
TP64_2     S1751-46               TopLayer    S175146                  10425.197     9543.307      0        "Test Point"                                                                                                                                                              
TP64_1     S1751-46               TopLayer    S175146                  14858.268     8877.953      90       "Test Point"                                                                                                                                                              
TP63       S1751-46               TopLayer    S175146                  1051.181      10173.228     0        "Test Point"                                                                                                                                                              
TP62       S1751-46               TopLayer    S175146                  1011.811      9850.394      180      "Test Point"                                                                                                                                                              
TP61       S1751-46               TopLayer    S175146                  1917.323      9716.535      0        "Test Point"                                                                                                                                                              
TP60       S1751-46               TopLayer    S175146                  1606.299      9645.669      90       "Test Point"                                                                                                                                                              
J24        142-0701-201           TopLayer    1420701201               665.354       10070.866     0        Connector                                                                                                                                                                 
J18        142-0701-201           TopLayer    1420701201               1724.409      10098.425     0        Connector                                                                                                                                                                 
R116_6     RCC08054K70FKEA        BottomLayer RCC0805_e3               5476.378      12326.772     180      Resistor                                                                                                                                                                  
R116_5     RCC08054K70FKEA        BottomLayer RCC0805_e3               5452.756      10562.992     180      Resistor                                                                                                                                                                  
R116_4     RCC08054K70FKEA        BottomLayer RCC0805_e3               5503.937      8287.402      180      Resistor                                                                                                                                                                  
R116_3     RCC08054K70FKEA        BottomLayer RCC0805_e3               5503.937      6496.063      180      Resistor                                                                                                                                                                  
R116_2     RCC08054K70FKEA        BottomLayer RCC0805_e3               5484.252      4358.268      180      Resistor                                                                                                                                                                  
R116_1     RCC08054K70FKEA        BottomLayer RCC0805_e3               5472.441      2566.929      180      Resistor                                                                                                                                                                  
C191_6     VJ0805Y104KXBAT        TopLayer    CAPC2012X145N            4787.402      12354.331     180      Capacitor                                                                                                                                                                 
C191_5     VJ0805Y104KXBAT        TopLayer    CAPC2012X145N            4759.842      10582.677     180      Capacitor                                                                                                                                                                 
C191_4     VJ0805Y104KXBAT        TopLayer    CAPC2012X145N            4779.528      8460.630      180      Capacitor                                                                                                                                                                 
C191_3     VJ0805Y104KXBAT        TopLayer    CAPC2012X145N            5078.740      6464.567      180      Capacitor                                                                                                                                                                 
C191_2     VJ0805Y104KXBAT        TopLayer    CAPC2012X145N            4736.221      4448.819      180      Capacitor                                                                                                                                                                 
C191_1     VJ0805Y104KXBAT        TopLayer    CAPC2012X145N            4801.181      2557.087      180      Capacitor                                                                                                                                                                 
PS1        TRI_20-1212            TopLayer    TRI201212                1852.756      1776.378      90       "Power Supply"                                                                                                                                                            
TP59       S1751-46               TopLayer    S175146                  14389.764     5631.890      0        "Test Point"                                                                                                                                                              
TP58       S1751-46               TopLayer    S175146                  20257.874     2580.709      0        "Test Point"                                                                                                                                                              
TP57       S1751-46               TopLayer    S175146                  13704.724     1767.716      0        "Test Point"                                                                                                                                                              
TP56       S1751-46               TopLayer    S175146                  13776.575     12651.575     0        "Test Point"                                                                                                                                                              
TP55       S1751-46               TopLayer    S175146                  21375.984     14187.992     0        "Test Point"                                                                                                                                                              
TP54       S1751-46               TopLayer    S175146                  1938.976      14496.063     0        "Test Point"                                                                                                                                                              
TP53       S1751-46               TopLayer    S175146                  354.331       12889.764     0        "Test Point"                                                                                                                                                              
TP52       S1751-46               TopLayer    S175146                  21973.425     2919.291      0        "Test Point"                                                                                                                                                              
TP51       S1751-46               TopLayer    S175146                  13746.063     3983.268      0        "Test Point"                                                                                                                                                              
TP50       S1751-46               TopLayer    S175146                  13957.677     5618.110      0        "Test Point"                                                                                                                                                              
TP47       S1751-46               TopLayer    S175146                  13714.567     10534.449     0        "Test Point"                                                                                                                                                              
TP46       S1751-46               TopLayer    S175146                  16601.378     1820.866      0        "Test Point"                                                                                                                                                              
TP45       S1751-46               TopLayer    S175146                  21821.850     5834.646      90       "Test Point"                                                                                                                                                              
TP44       S1751-46               TopLayer    S175146                  16920.276     5310.039      0        "Test Point"                                                                                                                                                              
TP43       S1751-46               TopLayer    S175146                  22212.598     12634.843     0        "Test Point"                                                                                                                                                              
TP28       S1751-46               TopLayer    S175146                  22189.961     8561.024      0        "Test Point"                                                                                                                                                              
TP27       S1751-46               TopLayer    S175146                  22205.709     5544.291      0        "Test Point"                                                                                                                                                              
TP26       S1751-46               TopLayer    S175146                  22194.882     10005.906     0        "Test Point"                                                                                                                                                              
TP24       S1751-46               TopLayer    S175146                  16649.606     10626.969     0        "Test Point"                                                                                                                                                              
TP23       S1751-46               TopLayer    S175146                  1945.866      14102.362     0        "Test Point"                                                                                                                                                              
TP22       S1751-46               TopLayer    S175146                  21384.842     13693.898     0        "Test Point"                                                                                                                                                              
R125       CRCW08050000Z0EAHP     BottomLayer RESC2012X60N             18736.220     6086.614      270      Resistor                                                                                                                                                                  
R124       CRCW08050000Z0EAHP     TopLayer    RESC2012X60N             18444.882     12133.858     90       Resistor                                                                                                                                                                  
R123       CRCW08050000Z0EAHP     TopLayer    RESC2012X60N             16452.756     12141.732     90       Resistor                                                                                                                                                                  
R122       CRCW08050000Z0EAHP     BottomLayer RESC2012X60N             11192.913     1468.504      0        Resistor                                                                                                                                                                  
R121       CRCW08050000Z0EAHP     TopLayer    RESC2012X60N             11279.528     6082.677      270      Resistor                                                                                                                                                                  
R120       CRCW08050000Z0EAHP     TopLayer    RESC2012X60N             10224.409     5846.457      0        Resistor                                                                                                                                                                  
R115       CRCW08050000Z0EAHP     TopLayer    RESC2012X60N             21629.921     2460.630      180      Resistor                                                                                                                                                                  
R114       CRCW08050000Z0EAHP     TopLayer    RESC2012X60N             21625.984     7452.756      180      Resistor                                                                                                                                                                  
C190       R76TR310050H3J         TopLayer    R76TR310050H3J           21721.457     9124.016      180      "Film Capacitors 1600V 0.1uF 5% LS=27.5mm  https://www.mouser.com/ProductDetail/KEMET/R76TR310050H3J?qs=bZr6mbWTK5mO7Mfjh7wCww%3D%3D"                                     
R113       CRCW08050000Z0EAHP     TopLayer    RESC2012X60N             16244.094     1429.134      90       Resistor                                                                                                                                                                  
R112       CRCW08050000Z0EAHP     TopLayer    RESC2012X60N             14031.496     1413.386      90       Resistor                                                                                                                                                                  
R111       CRCW08050000Z0EAHP     BottomLayer RESC2012X60N             14531.496     2208.661      270      Resistor                                                                                                                                                                  
R110       CRCW08050000Z0EAHP     TopLayer    RESC2012X60N             15326.772     2208.661      270      Resistor                                                                                                                                                                  
R109       CRCW08050000Z0EAHP     TopLayer    RESC2012X60N             11322.835     2216.535      270      Resistor                                                                                                                                                                  
R108       CRCW08050000Z0EAHP     BottomLayer RESC2012X60N             10507.874     5279.528      90       Resistor                                                                                                                                                                  
R107       CRCW08050000Z0EAHP     BottomLayer RESC2012X60N             13677.165     5267.717      90       Resistor                                                                                                                                                                  
R106       CRCW08050000Z0EAHP     TopLayer    RESC2012X60N             15500.000     6086.614      270      Resistor                                                                                                                                                                  
R105       CRCW08050000Z0EAHP     TopLayer    RESC2012X60N             17846.457     5303.150      90       Resistor                                                                                                                                                                  
R104       CRCW08050000Z0EAHP     TopLayer    RESC2012X60N             16153.543     5283.465      90       Resistor                                                                                                                                                                  
R103       CRCW08050000Z0EAHP     TopLayer    RESC2012X60N             18429.134     1413.386      90       Resistor                                                                                                                                                                  
R102       CRCW08050000Z0EAHP     TopLayer    RESC2012X60N             21629.921     9429.134      180      Resistor                                                                                                                                                                  
R101       CRCW08050000Z0EAHP     TopLayer    RESC2012X60N             21633.858     11496.063     180      Resistor                                                                                                                                                                  
R100       CRCW08050000Z0EAHP     TopLayer    RESC2012X60N             21625.984     8291.339      180      Resistor                                                                                                                                                                  
R99        CRCW08050000Z0EAHP     TopLayer    RESC2012X60N             21641.732     4830.709      180      Resistor                                                                                                                                                                  
